09CD001,"YUKON RIVER ABOVE WHITE RIVER"
Description of parameters:
47,"Discharge (primary sensor derived)",m3/s

Date,Parameter ,Value (m3/s)
2020-01-03 03:29:00,47,384
2020-01-03 03:44:00,47,384
2020-01-03 03:59:00,47,384
2020-01-03 04:14:00,47,384
2020-01-03 04:29:00,47,384
2020-01-03 04:44:00,47,384
2020-01-03 04:59:00,47,384
2020-01-03 05:14:00,47,384
2020-01-03 05:29:00,47,384
2020-01-03 05:44:00,47,384
2020-01-03 05:59:00,47,384
2020-01-03 06:14:00,47,384
2020-01-03 06:29:00,47,384
2020-01-03 06:44:00,47,384
2020-01-03 06:59:00,47,384
2020-01-03 07:14:00,47,384
2020-01-03 07:29:00,47,384
2020-01-03 07:44:00,47,384
2020-01-03 07:59:00,47,384
2020-01-03 08:14:00,47,384
2020-01-03 08:29:00,47,384
2020-01-03 08:44:00,47,384
2020-01-03 08:59:00,47,384
2020-01-03 09:14:00,47,384
2020-01-03 09:29:00,47,384
2020-01-03 09:44:00,47,384
2020-01-03 09:59:00,47,384
2020-01-03 10:14:00,47,384
2020-01-03 10:29:00,47,384
2020-01-03 10:44:00,47,384
2020-01-03 10:59:00,47,384
2020-01-03 11:14:00,47,384
2020-01-03 11:29:00,47,384
2020-01-03 11:44:00,47,384
2020-01-03 11:59:00,47,384
2020-01-03 12:14:00,47,384
2020-01-03 12:29:00,47,384
2020-01-03 12:44:00,47,384
2020-01-03 12:59:00,47,384
2020-01-03 13:14:00,47,384
2020-01-03 13:29:00,47,384
2020-01-03 13:44:00,47,384
2020-01-03 13:59:00,47,384
2020-01-03 14:14:00,47,384
2020-01-03 14:29:00,47,384
2020-01-03 14:44:00,47,384
2020-01-03 14:59:00,47,384
2020-01-03 15:14:00,47,384
2020-01-03 15:29:00,47,384
2020-01-03 15:44:00,47,384
2020-01-03 15:59:00,47,383
2020-01-03 16:14:00,47,383
2020-01-03 16:29:00,47,383
2020-01-03 16:44:00,47,383
2020-01-03 16:59:00,47,383
2020-01-03 17:14:00,47,383
2020-01-03 17:29:00,47,383
2020-01-03 17:44:00,47,383
2020-01-03 17:59:00,47,383
2020-01-03 18:14:00,47,383
2020-01-03 18:29:00,47,383
2020-01-03 18:44:00,47,383
2020-01-03 18:59:00,47,383
2020-01-03 19:14:00,47,383
2020-01-03 19:29:00,47,383
2020-01-03 19:44:00,47,383
2020-01-03 19:59:00,47,383
2020-01-03 20:14:00,47,383
2020-01-03 20:29:00,47,383
2020-01-03 20:44:00,47,383
2020-01-03 20:59:00,47,383
2020-01-03 21:14:00,47,383
2020-01-03 21:29:00,47,383
2020-01-03 21:44:00,47,383
2020-01-03 21:59:00,47,383
2020-01-03 22:14:00,47,383
2020-01-03 22:29:00,47,383
2020-01-03 22:44:00,47,383
2020-01-03 22:59:00,47,383
2020-01-03 23:14:00,47,383
2020-01-03 23:29:00,47,383
2020-01-03 23:44:00,47,383
2020-01-03 23:59:00,47,383
2020-01-04 00:14:00,47,383
2020-01-04 00:29:00,47,383
2020-01-04 00:44:00,47,383
2020-01-04 00:59:00,47,383
2020-01-04 01:14:00,47,383
2020-01-04 01:29:00,47,383
2020-01-04 01:44:00,47,383
2020-01-04 01:59:00,47,383
2020-01-04 02:14:00,47,383
2020-01-04 02:29:00,47,383
2020-01-04 02:44:00,47,383
2020-01-04 02:59:00,47,383
2020-01-04 03:14:00,47,383
2020-01-04 03:29:00,47,383
2020-01-04 03:44:00,47,383
2020-01-04 03:59:00,47,383
2020-01-04 04:14:00,47,383
2020-01-04 04:29:00,47,383
2020-01-04 04:44:00,47,383
2020-01-04 04:59:00,47,383
2020-01-04 05:14:00,47,383
2020-01-04 05:29:00,47,383
2020-01-04 05:44:00,47,383
2020-01-04 05:59:00,47,383
2020-01-04 06:14:00,47,383
2020-01-04 06:29:00,47,383
2020-01-04 06:44:00,47,383
2020-01-04 06:59:00,47,383
2020-01-04 07:14:00,47,383
2020-01-04 07:29:00,47,383
2020-01-04 07:44:00,47,383
2020-01-04 07:59:00,47,383
2020-01-04 08:14:00,47,383
2020-01-04 08:29:00,47,383
2020-01-04 08:44:00,47,383
2020-01-04 08:59:00,47,383
2020-01-04 09:14:00,47,383
2020-01-04 09:29:00,47,383
2020-01-04 09:44:00,47,383
2020-01-04 09:59:00,47,383
2020-01-04 10:14:00,47,383
2020-01-04 10:29:00,47,383
2020-01-04 10:44:00,47,383
2020-01-04 10:59:00,47,383
2020-01-04 11:14:00,47,383
2020-01-04 11:29:00,47,383
2020-01-04 11:44:00,47,383
2020-01-04 11:59:00,47,383
2020-01-04 12:14:00,47,383
2020-01-04 12:29:00,47,383
2020-01-04 12:44:00,47,383
2020-01-04 12:59:00,47,383
2020-01-04 13:14:00,47,383
2020-01-04 13:29:00,47,383
2020-01-04 13:44:00,47,383
2020-01-04 13:59:00,47,383
2020-01-04 14:14:00,47,383
2020-01-04 14:29:00,47,383
2020-01-04 14:44:00,47,383
2020-01-04 14:59:00,47,383
2020-01-04 15:14:00,47,383
2020-01-04 15:29:00,47,383
2020-01-04 15:44:00,47,383
2020-01-04 15:59:00,47,383
2020-01-04 16:14:00,47,383
2020-01-04 16:29:00,47,383
2020-01-04 16:44:00,47,383
2020-01-04 16:59:00,47,383
2020-01-04 17:14:00,47,383
2020-01-04 17:29:00,47,383
2020-01-04 17:44:00,47,383
2020-01-04 17:59:00,47,383
2020-01-04 18:14:00,47,383
2020-01-04 18:29:00,47,383
2020-01-04 18:44:00,47,383
2020-01-04 18:59:00,47,383
2020-01-04 19:14:00,47,383
2020-01-04 19:29:00,47,383
2020-01-04 19:44:00,47,382
2020-01-04 19:59:00,47,382
2020-01-04 20:14:00,47,382
2020-01-04 20:29:00,47,382
2020-01-04 20:44:00,47,382
2020-01-04 20:59:00,47,382
2020-01-04 21:14:00,47,382
2020-01-04 21:29:00,47,382
2020-01-04 21:44:00,47,382
2020-01-04 21:59:00,47,382
2020-01-04 22:14:00,47,382
2020-01-04 22:29:00,47,382
2020-01-04 22:44:00,47,382
2020-01-04 22:59:00,47,382
2020-01-04 23:14:00,47,382
2020-01-04 23:29:00,47,382
2020-01-04 23:44:00,47,382
2020-01-04 23:59:00,47,382
2020-01-05 00:14:00,47,382
2020-01-05 00:29:00,47,382
2020-01-05 00:44:00,47,382
2020-01-05 00:59:00,47,382
2020-01-05 01:14:00,47,382
2020-01-05 01:29:00,47,382
2020-01-05 01:44:00,47,382
2020-01-05 01:59:00,47,382
2020-01-05 02:14:00,47,382
2020-01-05 02:29:00,47,382
2020-01-05 02:44:00,47,382
2020-01-05 02:59:00,47,382
2020-01-05 03:14:00,47,382
2020-01-05 03:29:00,47,382
2020-01-05 03:44:00,47,382
2020-01-05 03:59:00,47,382
2020-01-05 04:14:00,47,382
2020-01-05 04:29:00,47,382
2020-01-05 04:44:00,47,382
2020-01-05 04:59:00,47,382
2020-01-05 05:14:00,47,382
2020-01-05 05:29:00,47,382
2020-01-05 05:44:00,47,382
2020-01-05 05:59:00,47,382
2020-01-05 06:14:00,47,382
2020-01-05 06:29:00,47,382
2020-01-05 06:44:00,47,382
2020-01-05 06:59:00,47,382
2020-01-05 07:14:00,47,382
2020-01-05 07:29:00,47,382
2020-01-05 07:44:00,47,382
2020-01-05 07:59:00,47,382
2020-01-05 08:14:00,47,382
2020-01-05 08:29:00,47,382
2020-01-05 08:44:00,47,382
2020-01-05 08:59:00,47,382
2020-01-05 09:14:00,47,382
2020-01-05 09:29:00,47,382
2020-01-05 09:44:00,47,382
2020-01-05 09:59:00,47,382
2020-01-05 10:14:00,47,382
2020-01-05 10:29:00,47,382
2020-01-05 10:44:00,47,382
2020-01-05 10:59:00,47,382
2020-01-05 11:14:00,47,382
2020-01-05 11:29:00,47,382
2020-01-05 11:44:00,47,382
2020-01-05 11:59:00,47,382
2020-01-05 12:14:00,47,382
2020-01-05 12:29:00,47,382
2020-01-05 12:44:00,47,382
2020-01-05 12:59:00,47,382
2020-01-05 13:14:00,47,382
2020-01-05 13:29:00,47,382
2020-01-05 13:44:00,47,382
2020-01-05 13:59:00,47,382
2020-01-05 14:14:00,47,382
2020-01-05 14:29:00,47,382
2020-01-05 14:44:00,47,382
2020-01-05 14:59:00,47,382
2020-01-05 15:14:00,47,382
2020-01-05 15:29:00,47,382
2020-01-05 15:44:00,47,382
2020-01-05 15:59:00,47,382
2020-01-05 16:14:00,47,382
2020-01-05 16:29:00,47,382
2020-01-05 16:44:00,47,382
2020-01-05 16:59:00,47,382
2020-01-05 17:14:00,47,382
2020-01-05 17:29:00,47,382
2020-01-05 17:44:00,47,382
2020-01-05 17:59:00,47,382
2020-01-05 18:14:00,47,382
2020-01-05 18:29:00,47,382
2020-01-05 18:44:00,47,382
2020-01-05 18:59:00,47,382
2020-01-05 19:14:00,47,382
2020-01-05 19:29:00,47,382
