ID,Month,Day,minmax,Date,Flow(m³/s)
02DD020,2,29,min,1984-02-29,5.5599999
02DD020,2,29,max,2016-02-29,25.6
02DD020,3,1,min,1982-03-01,4.48
02DD020,3,1,max,2019-03-01,36.299999
02DD020,3,2,min,1982-03-02,4.48
02DD020,3,2,max,2019-03-02,35.900002
02DD020,3,3,min,1982-03-03,4.25
02DD020,3,3,max,2019-03-03,35.400002
02DD020,3,4,min,1982-03-04,4.25
02DD020,3,4,max,2019-03-04,35.099998
02DD020,3,5,min,1982-03-05,4.2199998
02DD020,3,5,max,2019-03-05,34.200001
02DD020,3,6,min,1982-03-06,4.190000100000002
02DD020,3,6,max,2019-03-06,33.700001
02DD020,3,7,min,1982-03-07,4.190000100000002
02DD020,3,7,max,2019-03-07,33.0
02DD020,3,8,min,1982-03-08,4.1199999
02DD020,3,8,max,2019-03-08,32.799999
02DD020,3,9,min,1982-03-09,4.0900002
02DD020,3,9,max,2019-03-09,41.700001
02DD020,3,10,min,1982-03-10,4.059999899999998
02DD020,3,10,max,2019-03-10,45.200001
02DD020,3,11,min,1982-03-11,3.96
02DD020,3,11,max,2019-03-11,45.700001
02DD020,3,12,min,1982-03-12,3.9300001
02DD020,3,12,max,2019-03-12,45.900002
02DD020,3,13,min,1982-03-13,4.380000099999998
02DD020,3,13,max,2019-03-13,46.400002
02DD020,3,14,min,1982-03-14,4.54
02DD020,3,14,max,2019-03-14,47.299999
02DD020,3,15,min,1982-03-15,4.670000099999998
02DD020,3,15,max,2019-03-15,48.400002
02DD020,3,16,min,1982-03-16,5.2800002
02DD020,3,16,max,2019-03-16,50.099998
02DD020,3,17,min,1982-03-17,5.420000099999998
02DD020,3,17,max,2019-03-17,52.799999
02DD020,3,18,min,1982-03-18,5.130000099999998
02DD020,3,18,max,2019-03-18,54.700001
02DD020,3,19,min,1982-03-19,5.170000099999998
02DD020,3,19,max,2019-03-19,56.299999
02DD020,3,20,min,1982-03-20,4.9899998
02DD020,3,20,max,2019-03-20,57.599998
02DD020,3,21,min,1982-03-21,4.920000099999998
02DD020,3,21,max,2019-03-21,58.5
02DD020,3,22,min,1982-03-22,4.77
02DD020,3,22,max,2019-03-22,59.200001
02DD020,3,23,min,1982-03-23,4.77
02DD020,3,23,max,2019-03-23,59.799999
02DD020,3,24,min,1982-03-24,4.6999998
02DD020,3,24,max,2019-03-24,60.599998
02DD020,3,25,min,1982-03-25,4.8099999
02DD020,3,25,max,2019-03-25,61.599998
02DD020,3,26,min,1982-03-26,4.880000099999998
02DD020,3,26,max,2019-03-26,61.299999
02DD020,3,27,min,1982-03-27,4.920000099999998
02DD020,3,27,max,2019-03-27,61.400002
02DD020,3,28,min,1982-03-28,4.880000099999998
02DD020,3,28,max,2019-03-28,63.200001
02DD020,3,29,min,1982-03-29,4.7399998
02DD020,3,29,max,2019-03-29,64.5
02DD020,3,30,min,1982-03-30,4.8099999
02DD020,3,30,max,2019-03-30,65.699997
02DD020,3,31,min,1982-03-31,4.9499998
02DD020,3,31,max,2019-03-31,68.699997
02DD020,4,1,min,1982-04-01,4.880000099999998
02DD020,4,1,max,2019-04-01,75.599998
02DD020,4,2,min,1982-04-02,4.920000099999998
02DD020,4,2,max,2019-04-02,77.300003
02DD020,4,3,min,1982-04-03,4.9499998
02DD020,4,3,max,2019-04-03,78.699997
02DD020,4,4,min,1982-04-04,4.9899998
02DD020,4,4,max,2019-04-04,79.699997
