ID,Year,Month,Day,Parameter,Flow (m3/s)
02DD020,2020,1,1,47,43.51770833333335
02DD020,2020,1,2,47,42.61979166666666
02DD020,2020,1,3,47,41.699999999999996
02DD020,2020,1,4,47,40.77534722222222
02DD020,2020,1,5,47,39.9802083333334
02DD020,2020,1,6,47,39.37500000000001
02DD020,2020,1,7,47,38.56666666666659
02DD020,2020,1,8,47,37.813768115941926
02DD020,2020,1,9,47,37.008333333333276
02DD020,2020,1,10,47,36.38263888888885
02DD020,2020,1,11,47,35.98611111111107
02DD020,2020,1,12,47,35.92013888888892
02DD020,2020,1,13,47,35.22777777777777
02DD020,2020,1,14,47,34.52173913043467
02DD020,2020,1,15,47,33.856690140845096
02DD020,2020,1,16,47,33.33017543859647
02DD020,2020,1,17,47,32.57118055555548
02DD020,2020,1,18,47,32.270486111111126
02DD020,2020,1,19,47,32.12777777777785
02DD020,2020,1,20,47,31.347222222222243
02DD020,2020,1,21,47,30.79236111111119
02DD020,2020,1,22,47,30.29513888888893
02DD020,2020,1,23,47,29.804513888888973
02DD020,2020,1,24,47,29.36527777777779
02DD020,2020,1,25,47,29.424652777777762
02DD020,2020,1,26,47,29.301041666666713
02DD020,2020,1,27,47,28.789236111111208
02DD020,2020,1,28,47,28.324652777777825
02DD020,2020,1,29,47,27.96527777777769
02DD020,2020,1,30,47,27.58749999999998
02DD020,2020,1,31,47,27.229513888888917
02DD020,2020,2,1,47,26.911805555555517
02DD020,2020,2,2,47,26.561458333333263
02DD020,2020,2,3,47,26.08506944444437
02DD020,2020,2,4,47,25.65277777777778
02DD020,2020,2,5,47,25.234722222222278
02DD020,2020,2,6,47,24.957638888888813
02DD020,2020,2,7,47,24.656597222222228
02DD020,2020,2,8,47,24.22569444444443
02DD020,2020,2,9,47,23.913888888888856
02DD020,2020,2,10,47,23.68263888888892
02DD020,2020,2,11,47,23.26840277777781
02DD020,2020,2,12,47,22.859722222222235
02DD020,2020,2,13,47,22.599652777777724
02DD020,2020,2,14,47,22.229166666666682
02DD020,2020,2,15,47,21.983333333333295
02DD020,2020,2,16,47,21.680208333333336
02DD020,2020,2,17,47,21.3059027777778
02DD020,2020,2,18,47,21.32673611111109
02DD020,2020,2,19,47,21.119097222222223
02DD020,2020,2,20,47,20.83715277777785
02DD020,2020,2,21,47,20.620138888888874
02DD020,2020,2,22,47,20.302430555555592
02DD020,2020,2,23,47,20.054166666666646
02DD020,2020,2,24,47,19.80069444444446
02DD020,2020,2,25,47,19.53854166666661
02DD020,2020,2,26,47,19.331597222222268
02DD020,2020,2,27,47,19.43472222222219
02DD020,2020,2,28,47,19.18576388888893
02DD020,2020,2,29,47,18.99513888888883
02DD020,2020,3,1,47,18.829861111111175
02DD020,2020,3,2,47,18.677430555555546
02DD020,2020,3,3,47,18.417013888888867
02DD020,2020,3,4,47,18.281597222222217
02DD020,2020,3,5,47,18.13020833333333
02DD020,2020,3,6,47,18.184027777777757
02DD020,2020,3,7,47,18.091319444444437
02DD020,2020,3,8,47,18.035416666666666
02DD020,2020,3,9,47,18.10173611111107
02DD020,2020,3,10,47,19.32986111111111
02DD020,2020,3,11,47,19.48506944444446
02DD020,2020,3,12,47,19.512500000000006
02DD020,2020,3,13,47,20.331944444444467
02DD020,2020,3,14,47,20.49201388888891
02DD020,2020,3,15,47,20.652083333333238
02DD020,2020,3,16,47,20.862499999999947
02DD020,2020,3,17,47,21.128125000000008
02DD020,2020,3,18,47,21.227430555555525
02DD020,2020,3,19,47,21.559027777777775
02DD020,2020,3,20,47,22.90104166666659
02DD020,2020,3,21,47,23.614583333333332
02DD020,2020,3,22,47,23.991319444444496
02DD020,2020,3,23,47,24.314236111111033
02DD020,2020,3,24,47,24.556250000000023
02DD020,2020,3,25,47,24.980902777777864
02DD020,2020,3,26,47,26.49861111111108
02DD020,2020,3,27,47,27.98194444444446
02DD020,2020,3,28,47,28.74895833333331
02DD020,2020,3,29,47,30.36875000000001
02DD020,2020,3,30,47,32.843402777777804
02DD020,2020,3,31,47,34.852430555555564
02DD020,2020,4,1,47,37.043055555555554
02DD020,2020,4,2,47,39.199305555555554
02DD020,2020,4,3,47,41.533333333333374
02DD020,2020,4,4,47,44.15173611111109
02DD020,2020,4,5,47,46.85243055555553
02DD020,2020,4,6,47,49.36180555555553
02DD020,2020,4,7,47,51.75590277777778
02DD020,2020,4,8,47,54.12326388888886
02DD020,2020,4,9,47,56.13298611111112
02DD020,2020,4,10,47,57.66597222222223
02DD020,2020,4,11,47,59.06631944444439
02DD020,2020,4,12,47,60.26145833333336
02DD020,2020,4,13,47,61.95520833333335
02DD020,2020,4,14,47,62.36909722222227
02DD020,2020,4,15,47,63.58780487804871
02DD020,2020,4,16,47,64.43680555555548
02DD020,2020,4,17,47,65.05173611111111
02DD020,2020,4,18,47,65.5791666666666
02DD020,2020,4,19,47,66.08784722222218
02DD020,2020,4,20,47,66.47847222222218
02DD020,2020,4,21,47,67.24652777777776
02DD020,2020,4,22,47,67.459375
02DD020,2020,4,23,47,60.794444444444494
02DD020,2020,4,24,47,31.10868055555555
02DD020,2020,4,25,47,20.344444444444452
02DD020,2020,4,26,47,16.97222222222223
02DD020,2020,4,27,47,15.853472222222244
02DD020,2020,4,28,47,15.424652777777842
02DD020,2020,4,29,47,15.56006944444446
02DD020,2020,4,30,47,17.044097222222216
02DD020,2020,5,1,47,18.207291666666602
02DD020,2020,5,2,47,18.623611111111046
02DD020,2020,5,3,47,19.186111111111153
02DD020,2020,5,4,47,19.630902777777763
02DD020,2020,5,5,47,19.960416666666777
